EventCode,NTSyslogID,action
692,S692,success
692,F692,failure
693,S693,success
693,F693,failure
694,S694,success
694,F694,failure
695,S695,success
695,F695,failure
696,S696,success
696,F696,failure
697,S697,success
697,F697,failure
698,S698,success
698,F698,failure
699,S699,success
699,F699,failure
700,S700,success
700,F700,failure
701,S701,success
701,F701,failure
702,S702,success
702,F702,failure
703,S703,success
703,F703,failure
704,S704,success
704,F704,failure
705,S705,success
705,F705,failure
706,S706,success
706,F706,failure
707,S707,success
707,F707,failure
708,S708,success
708,F708,failure
709,S709,success
709,F709,failure
710,S710,success
710,F710,failure
711,S711,success
711,F711,failure
712,S712,success
712,F712,failure
713,S713,success
713,F713,failure
714,S714,success
714,F714,failure
715,S715,success
715,F715,failure
716,S716,success
716,F716,failure
717,S717,success
717,F717,failure
718,S718,success
718,F718,failure
719,S719,success
719,F719,failure
720,S720,success
720,F720,failure
721,S721,success
721,F721,failure
722,S722,success
722,F722,failure
723,S723,success
723,F723,failure
724,S724,success
724,F724,failure
725,S725,success
725,F725,failure
726,S726,success
726,F726,failure
727,S727,success
727,F727,failure
728,S728,success
728,F728,failure
729,S729,success
729,F729,failure
730,S730,success
730,F730,failure
731,S731,success
731,F731,failure
732,S732,success
732,F732,failure
733,S733,success
733,F733,failure
734,S734,success
734,F734,failure
735,S735,success
735,F735,failure
736,S736,success
736,F736,failure
737,S737,success
737,F737,failure
738,S738,success
738,F738,failure
739,S739,success
739,F739,failure
740,S740,success
740,F740,failure
741,S741,success
741,F741,failure
742,S742,success
742,F742,failure
743,S743,success
743,F743,failure
744,S744,success
744,F744,failure
745,S745,success
745,F745,failure
746,S746,success
746,F746,failure
747,S747,success
747,F747,failure
748,S748,success
748,F748,failure
749,S749,success
749,F749,failure
750,S750,success
750,F750,failure
751,S751,success
751,F751,failure
752,S752,success
752,F752,failure
753,S753,success
753,F753,failure
754,S754,success
754,F754,failure
755,S755,success
755,F755,failure
756,S756,success
756,F756,failure
757,S757,success
757,F757,failure
758,S758,success
758,F758,failure
759,S759,success
759,F759,failure
760,S760,success
760,F760,failure
761,S761,success
761,F761,failure
762,S762,success
762,F762,failure
763,S763,success
763,F763,failure
764,S764,success
764,F764,failure
765,S765,success
765,F765,failure
766,S766,success
766,F766,failure
767,S767,success
767,F767,failure
768,S768,success
768,F768,failure
769,S769,success
769,F769,failure
770,S770,success
770,F770,failure
771,S771,success
771,F771,failure
772,S772,success
772,F772,failure
773,S773,success
773,F773,failure
774,S774,success
774,F774,failure
775,S775,success
775,F775,failure
776,S776,success
776,F776,failure
777,S777,success
777,F777,failure
778,S778,success
778,F778,failure
779,S779,success
779,F779,failure
780,S780,success
780,F780,failure
781,S781,success
781,F781,failure
782,S782,success
782,F782,failure
783,S783,success
783,F783,failure
784,S784,success
784,F784,failure
785,S785,success
785,F785,failure
786,S786,success
786,F786,failure
787,S787,success
787,F787,failure
788,S788,success
788,F788,failure
789,S789,success
789,F789,failure
790,S790,success
790,F790,failure
791,S791,success
791,F791,failure
792,S792,success
792,F792,failure
793,S793,success
793,F793,failure
794,S794,success
794,F794,failure
795,S795,success
795,F795,failure
796,S796,success
796,F796,failure
797,S797,success
797,F797,failure
798,S798,success
798,F798,failure
799,S799,success
799,F799,failure
800,S800,success
800,F800,failure
801,S801,success
801,F801,failure
802,S802,success
802,F802,failure
803,S803,success
803,F803,failure
804,S804,success
804,F804,failure
805,S805,success
805,F805,failure
806,S806,success
806,F806,failure
807,S807,success
807,F807,failure
808,S808,success
808,F808,failure
809,S809,success
809,F809,failure
810,S810,success
810,F810,failure
811,S811,success
811,F811,failure
812,S812,success
812,F812,failure
813,S813,success
813,F813,failure
814,S814,success
814,F814,failure
815,S815,success
815,F815,failure
816,S816,success
816,F816,failure
817,S817,success
817,F817,failure
818,S818,success
818,F818,failure
819,S819,success
819,F819,failure
820,S820,success
820,F820,failure
